ts_event,low,high,cum_low,cum_high,cum_low_pct,cum_high_pct,cum_high_minus_low_pct
2026-05-18T13:35:00.000000000+0000,0.0004157139947627009,0.0,0.0004157139947627009,0.0,0.04157139947627009,0.0,-0.04157139947627009
2026-05-18T13:40:00.000000000+0000,-0.0004155409608967986,0.0,1.7303386590228342e-7,0.0,0.000017303386590228342,0.0,-0.000017303386590228342
2026-05-18T13:45:00.000000000+0000,0.0008326395152158383,0.0,0.0008328125490817406,0.0,0.08328125490817406,0.0,-0.08328125490817406
2026-05-18T13:50:00.000000000+0000,0.0016623381708051888,0.0,0.0024951507198869294,0.0,0.24951507198869294,0.0,-0.24951507198869294
2026-05-18T13:55:00.000000000+0000,0.0004150238698290565,-0.000830047739658113,0.002910174589715986,-0.000830047739658113,0.2910174589715986,-0.0830047739658113,-0.3740222329374099
2026-05-18T14:00:00.000000000+0000,-0.00041571313532928755,-0.0008298755662994317,0.0024944614543866983,-0.0016599233059575447,0.24944614543866983,-0.16599233059575447,-0.4154384760344243
2026-05-18T14:05:00.000000000+0000,-0.0004155412484476706,0.0,0.0020789202059390277,-0.0016599233059575447,0.20789202059390277,-0.16599233059575447,-0.37388435118965724
2026-05-18T14:10:00.000000000+0000,-0.0008321198372582828,0.0,0.001246800368680745,-0.0016599233059575447,0.1246800368680745,-0.16599233059575447,-0.29067236746382896
2026-05-18T14:15:00.000000000+0000,-0.0004160599186291414,0.0,0.0008307404500516036,-0.0016599233059575447,0.08307404500516036,-0.16599233059575447,-0.24906637560091482
2026-05-18T14:20:00.000000000+0000,0.0,0.0,0.0008307404500516036,-0.0016599233059575447,0.08307404500516036,-0.16599233059575447,-0.24906637560091482
2026-05-18T14:25:00.000000000+0000,-0.0008326395152158383,0.0,-1.89906516423477e-6,-0.0016599233059575447,-0.000189906516423477,-0.16599233059575447,-0.165802424079331
2026-05-18T14:30:00.000000000+0000,0.0,0.0,-1.89906516423477e-6,-0.0016599233059575447,-0.000189906516423477,-0.16599233059575447,-0.165802424079331
