ts_event,low,high,cum_low,cum_high,cum_low_pct,cum_high_pct,cum_high_minus_low_pct
2026-05-18T14:10:00.000000000+0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-18T14:15:00.000000000+0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-18T14:35:00.000000000+0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-18T14:40:00.000000000+0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-18T14:45:00.000000000+0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-18T14:55:00.000000000+0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-18T15:10:00.000000000+0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-18T15:30:00.000000000+0000,0.0,-0.0002223457485532876,0.0,-0.0002223457485532876,0.0,-0.02223457485532876,-0.02223457485532876
2026-05-18T15:35:00.000000000+0000,0.0,0.0,0.0,-0.0002223457485532876,0.0,-0.02223457485532876,-0.02223457485532876
2026-05-18T15:40:00.000000000+0000,0.0,0.0,0.0,-0.0002223457485532876,0.0,-0.02223457485532876,-0.02223457485532876
2026-05-18T15:45:00.000000000+0000,0.0,0.0,0.0,-0.0002223457485532876,0.0,-0.02223457485532876,-0.02223457485532876
2026-05-18T16:10:00.000000000+0000,0.0,0.0,0.0,-0.0002223457485532876,0.0,-0.02223457485532876,-0.02223457485532876
2026-05-18T17:05:00.000000000+0000,0.0,0.0,0.0,-0.0002223457485532876,0.0,-0.02223457485532876,-0.02223457485532876
2026-05-18T17:30:00.000000000+0000,0.0,0.0,0.0,-0.0002223457485532876,0.0,-0.02223457485532876,-0.02223457485532876
2026-05-18T17:40:00.000000000+0000,0.0,0.0,0.0,-0.0002223457485532876,0.0,-0.02223457485532876,-0.02223457485532876
2026-05-18T17:45:00.000000000+0000,0.0,0.0,0.0,-0.0002223457485532876,0.0,-0.02223457485532876,-0.02223457485532876
2026-05-18T17:55:00.000000000+0000,0.0,0.0,0.0,-0.0002223457485532876,0.0,-0.02223457485532876,-0.02223457485532876
2026-05-18T18:05:00.000000000+0000,0.0,0.0,0.0,-0.0002223457485532876,0.0,-0.02223457485532876,-0.02223457485532876
2026-05-18T18:10:00.000000000+0000,0.0,0.0,0.0,-0.0002223457485532876,0.0,-0.02223457485532876,-0.02223457485532876
2026-05-18T18:55:00.000000000+0000,-0.00022249416044672898,0.0,-0.00022249416044672898,-0.0002223457485532876,-0.0222494160446729,-0.02223457485532876,0.000014841189344139138
2026-05-18T19:05:00.000000000+0000,-0.00022249416044672898,0.0,-0.00044498832089345797,-0.0002223457485532876,-0.0444988320893458,-0.02223457485532876,0.022264257234017037
2026-05-18T19:35:00.000000000+0000,-0.00022254367511465034,0.0,-0.0006675319960081083,-0.0002223457485532876,-0.06675319960081083,-0.02223457485532876,0.04451862474548207
2026-05-18T19:40:00.000000000+0000,0.0,0.0,-0.0006675319960081083,-0.0002223457485532876,-0.06675319960081083,-0.02223457485532876,0.04451862474548207
2026-05-19T13:35:00.000000000+0000,0.0002228412265488089,0.0,-0.0004446907694592994,-0.0002223457485532876,-0.04446907694592994,-0.02223457485532876,0.022234502090601183
2026-05-19T13:55:00.000000000+0000,0.00022274195436811084,0.0,-0.00022194881509118858,-0.0002223457485532876,-0.022194881509118858,-0.02223457485532876,-0.00003969334620990139
2026-05-19T14:15:00.000000000+0000,0.0,0.0,-0.00022194881509118858,-0.0002223457485532876,-0.022194881509118858,-0.02223457485532876,-0.00003969334620990139
2026-05-19T14:25:00.000000000+0000,0.0,0.0002226923514383472,-0.00022194881509118858,3.4660288505961034e-7,-0.022194881509118858,0.000034660288505961034,0.02222954179762482
2026-05-19T14:30:00.000000000+0000,0.0,0.0,-0.00022194881509118858,3.4660288505961034e-7,-0.022194881509118858,0.000034660288505961034,0.02222954179762482
2026-05-19T14:45:00.000000000+0000,0.0,0.0,-0.00022194881509118858,3.4660288505961034e-7,-0.022194881509118858,0.000034660288505961034,0.02222954179762482
2026-05-19T14:50:00.000000000+0000,0.0,0.0,-0.00022194881509118858,3.4660288505961034e-7,-0.022194881509118858,0.000034660288505961034,0.02222954179762482
2026-05-19T15:00:00.000000000+0000,0.0,0.0,-0.00022194881509118858,3.4660288505961034e-7,-0.022194881509118858,0.000034660288505961034,0.02222954179762482
2026-05-19T15:10:00.000000000+0000,0.0,0.0,-0.00022194881509118858,3.4660288505961034e-7,-0.022194881509118858,0.000034660288505961034,0.02222954179762482
2026-05-19T15:15:00.000000000+0000,0.0,0.0,-0.00022194881509118858,3.4660288505961034e-7,-0.022194881509118858,0.000034660288505961034,0.02222954179762482
2026-05-19T15:20:00.000000000+0000,-0.00022264277059491633,0.0,-0.0004445915856861049,3.4660288505961034e-7,-0.04445915856861049,0.000034660288505961034,0.04449381885711645
2026-05-19T15:25:00.000000000+0000,0.0,0.0,-0.0004445915856861049,3.4660288505961034e-7,-0.04445915856861049,0.000034660288505961034,0.04449381885711645
2026-05-19T15:35:00.000000000+0000,0.0,0.0,-0.0004445915856861049,3.4660288505961034e-7,-0.04445915856861049,0.000034660288505961034,0.04449381885711645
2026-05-19T15:40:00.000000000+0000,0.0,0.0,-0.0004445915856861049,3.4660288505961034e-7,-0.04445915856861049,0.000034660288505961034,0.04449381885711645
2026-05-19T15:45:00.000000000+0000,0.0,0.0,-0.0004445915856861049,3.4660288505961034e-7,-0.04445915856861049,0.000034660288505961034,0.04449381885711645
2026-05-19T15:50:00.000000000+0000,0.0,0.0,-0.0004445915856861049,3.4660288505961034e-7,-0.04445915856861049,0.000034660288505961034,0.04449381885711645
2026-05-19T15:55:00.000000000+0000,0.0,0.0,-0.0004445915856861049,3.4660288505961034e-7,-0.04445915856861049,0.000034660288505961034,0.04449381885711645
2026-05-19T16:05:00.000000000+0000,0.0,0.0,-0.0004445915856861049,3.4660288505961034e-7,-0.04445915856861049,0.000034660288505961034,0.04449381885711645
2026-05-19T16:10:00.000000000+0000,0.0,0.0,-0.0004445915856861049,3.4660288505961034e-7,-0.04445915856861049,0.000034660288505961034,0.04449381885711645
2026-05-19T16:30:00.000000000+0000,0.0,0.0,-0.0004445915856861049,3.4660288505961034e-7,-0.04445915856861049,0.000034660288505961034,0.04449381885711645
2026-05-19T16:40:00.000000000+0000,0.0,0.0,-0.0004445915856861049,3.4660288505961034e-7,-0.04445915856861049,0.000034660288505961034,0.04449381885711645
2026-05-19T17:05:00.000000000+0000,0.0,0.0,-0.0004445915856861049,3.4660288505961034e-7,-0.04445915856861049,0.000034660288505961034,0.04449381885711645
2026-05-19T17:15:00.000000000+0000,0.0,0.0,-0.0004445915856861049,3.4660288505961034e-7,-0.04445915856861049,0.000034660288505961034,0.04449381885711645
2026-05-19T17:20:00.000000000+0000,0.0,0.0,-0.0004445915856861049,3.4660288505961034e-7,-0.04445915856861049,0.000034660288505961034,0.04449381885711645
2026-05-19T17:25:00.000000000+0000,0.0,0.0,-0.0004445915856861049,3.4660288505961034e-7,-0.04445915856861049,0.000034660288505961034,0.04449381885711645
2026-05-19T17:30:00.000000000+0000,0.0,0.0,-0.0004445915856861049,3.4660288505961034e-7,-0.04445915856861049,0.000034660288505961034,0.04449381885711645
2026-05-19T17:35:00.000000000+0000,0.0,0.0,-0.0004445915856861049,3.4660288505961034e-7,-0.04445915856861049,0.000034660288505961034,0.04449381885711645
2026-05-19T17:50:00.000000000+0000,0.0,0.0,-0.0004445915856861049,3.4660288505961034e-7,-0.04445915856861049,0.000034660288505961034,0.04449381885711645
